time,azimuth,elevation
2024-12-12 02:35:34.015281+00,76.23,-52.46
2024-12-12 02:55:34.017225+00,80.37,-48.68
2024-12-12 03:15:34.019355+00,84.1,-44.86
2024-12-12 03:35:34.020857+00,87.54,-41.01
2024-12-12 03:55:34.021859+00,90.77,-37.15
2024-12-12 04:15:34.022396+00,93.84,-33.3
2024-12-12 04:35:34.0251+00,96.81,-29.46
2024-12-12 04:55:34.026187+00,99.7,-25.64
2024-12-12 05:15:34.027663+00,102.55,-21.85
2024-12-12 05:36:08.819667+00,105.47,-18.0
2024-12-12 05:44:08.822264+00,106.61,-16.52
2024-12-12 05:52:08.823438+00,107.76,-15.04
2024-12-12 06:00:08.825033+00,108.9,-13.58
2024-12-12 06:08:47.126386+00,110.15,-12.0
2024-12-12 06:16:47.129189+00,111.31,-10.55
2024-12-12 06:24:47.130423+00,112.49,-9.12
2024-12-12 06:32:47.132529+00,113.67,-7.69
2024-12-12 06:42:20.74261+00,115.09,-6.0
2024-12-12 06:46:20.743557+00,115.7,-5.3
2024-12-12 06:50:20.745396+00,116.3,-4.6
2024-12-12 06:54:20.746885+00,116.91,-3.89
2024-12-12 06:58:20.74733+00,117.53,-3.19
2024-12-12 07:02:20.749151+00,118.14,-2.48
2024-12-12 07:06:20.749854+00,118.77,-1.76
2024-12-12 07:10:20.750885+00,119.39,-0.99
2024-12-12 07:13:07.73299+00,119.83,-0.37
2024-12-12 07:15:07.735602+00,120.15,0.1
2024-12-12 07:17:07.738885+00,120.46,0.38
2024-12-12 07:19:07.739671+00,120.78,0.66
2024-12-12 07:21:07.739881+00,121.1,0.95
2024-12-12 07:23:07.74194+00,121.42,1.25
2024-12-12 07:25:07.742882+00,121.74,1.54
2024-12-12 07:27:07.744095+00,122.06,1.84
2024-12-12 07:29:07.745631+00,122.39,2.14
2024-12-12 07:31:07.748165+00,122.71,2.45
2024-12-12 07:33:07.748688+00,123.04,2.75
2024-12-12 07:35:07.750363+00,123.37,3.06
2024-12-12 07:37:07.751821+00,123.7,3.37
2024-12-12 07:39:07.752698+00,124.03,3.67
2024-12-12 07:41:07.75435+00,124.36,3.98
2024-12-12 07:43:07.756685+00,124.69,4.29
2024-12-12 07:45:07.758206+00,125.03,4.59
2024-12-12 07:47:07.760147+00,125.36,4.9
2024-12-12 07:49:07.761152+00,125.7,5.21
2024-12-12 07:51:07.762485+00,126.04,5.51
2024-12-12 07:53:07.764911+00,126.38,5.82
2024-12-12 07:55:07.766634+00,126.72,6.12
2024-12-12 07:57:07.767934+00,127.06,6.42
2024-12-12 07:59:07.769349+00,127.41,6.72
2024-12-12 08:01:07.770136+00,127.75,7.02
2024-12-12 08:03:07.771374+00,128.1,7.32
2024-12-12 08:05:07.773269+00,128.45,7.62
2024-12-12 08:07:07.774821+00,128.8,7.92
2024-12-12 08:09:07.77839+00,129.15,8.22
2024-12-12 08:11:07.781369+00,129.5,8.51
2024-12-12 08:13:07.783688+00,129.86,8.8
2024-12-12 08:15:07.784352+00,130.22,9.1
2024-12-12 08:17:07.785455+00,130.57,9.39
2024-12-12 08:19:07.786452+00,130.93,9.68
2024-12-12 08:21:22.061804+00,131.34,10.0
2024-12-12 08:25:22.063577+00,132.07,10.57
2024-12-12 08:29:22.06544+00,132.8,11.14
2024-12-12 08:33:22.067428+00,133.54,11.7
2024-12-12 08:37:22.068555+00,134.29,12.25
2024-12-12 08:41:22.06953+00,135.05,12.79
2024-12-12 08:45:22.070394+00,135.81,13.33
2024-12-12 08:49:22.072676+00,136.58,13.86
2024-12-12 08:53:22.073716+00,137.36,14.39
2024-12-12 08:57:22.074958+00,138.14,14.9
2024-12-12 09:01:22.077446+00,138.94,15.41
2024-12-12 09:05:22.079129+00,139.73,15.91
2024-12-12 09:09:22.080827+00,140.54,16.4
2024-12-12 09:13:22.082823+00,141.36,16.89
2024-12-12 09:17:22.084913+00,142.18,17.36
2024-12-12 09:21:22.085704+00,143.01,17.83
2024-12-12 09:25:22.086817+00,143.84,18.29
2024-12-12 09:29:22.089142+00,144.69,18.74
2024-12-12 09:33:22.090409+00,145.54,19.18
2024-12-12 09:37:22.092702+00,146.4,19.61
2024-12-12 09:41:22.094422+00,147.27,20.03
2024-12-12 09:45:22.095999+00,148.15,20.44
2024-12-12 09:49:22.099314+00,149.03,20.84
2024-12-12 09:53:22.10162+00,149.92,21.23
2024-12-12 09:57:22.103285+00,150.82,21.61
2024-12-12 10:01:22.104298+00,151.73,21.98
2024-12-12 10:05:22.106444+00,152.64,22.34
2024-12-12 10:09:22.109059+00,153.56,22.69
2024-12-12 10:13:22.109612+00,154.49,23.03
2024-12-12 10:17:22.110945+00,155.42,23.35
2024-12-12 10:21:22.112466+00,156.36,23.67
2024-12-12 10:25:22.114924+00,157.31,23.97
2024-12-12 10:29:22.1178+00,158.27,24.26
2024-12-12 10:33:22.119383+00,159.23,24.54
2024-12-12 10:37:22.121379+00,160.2,24.81
2024-12-12 10:41:22.123129+00,161.17,25.06
2024-12-12 10:45:22.12431+00,162.15,25.3
2024-12-12 10:49:22.12582+00,163.13,25.53
2024-12-12 10:53:22.128241+00,164.13,25.75
2024-12-12 10:57:22.128919+00,165.12,25.96
2024-12-12 11:01:22.130936+00,166.12,26.15
2024-12-12 11:05:22.131436+00,167.13,26.32
2024-12-12 11:09:22.132577+00,168.14,26.49
2024-12-12 11:13:22.133769+00,169.15,26.64
2024-12-12 11:17:22.13492+00,170.17,26.78
2024-12-12 11:21:22.136392+00,171.19,26.9
2024-12-12 11:25:22.137777+00,172.21,27.01
2024-12-12 11:29:22.139551+00,173.24,27.11
2024-12-12 11:33:22.140521+00,174.27,27.2
2024-12-12 11:37:22.141346+00,175.3,27.27
2024-12-12 11:41:22.143145+00,176.33,27.32
2024-12-12 11:45:22.144208+00,177.36,27.36
2024-12-12 11:49:22.145504+00,178.4,27.39
2024-12-12 11:53:22.147505+00,179.43,27.41
2024-12-12 11:55:19.004162+00,179.94,27.41
