time,azimuth_mean,elevation_mean
2024-12-14 13:30:00,206.73142857142855,22.412857142857142
2024-12-14 14:00:00,213.415,19.5125
2024-12-14 14:30:00,219.68142857142857,16.08142857142857
2024-12-14 15:00:00,225.84333333333333,11.936666666666667
2024-12-14 15:30:00,231.26466666666664,7.658
2024-12-14 16:00:00,236.35,3.122666666666667
2024-12-14 16:30:00,240.7711111111111,-1.3855555555555554
2024-12-14 17:00:00,245.12600000000003,-6.508
2024-12-14 17:30:00,250.1625,-12.66
2024-12-14 18:00:00,253.70499999999998,-17.195
2024-12-14 18:30:00,258.58000000000004,-23.63
2024-12-14 19:00:00,262.88,-29.34
2024-12-14 19:30:00,267.36,-35.105000000000004
2024-12-14 20:00:00,272.09,-40.89
2024-12-14 20:30:00,277.36,-46.655
2024-12-14 21:00:00,283.3,-52.35
2024-12-14 21:30:00,290.59000000000003,-57.875
2024-12-14 22:00:00,299.6,-63.14
2024-12-14 22:30:00,312.03499999999997,-67.795
2024-12-14 23:00:00,328.6,-71.57
2024-12-14 23:30:00,171.535,-73.475
2024-12-15 00:00:00,16.31,-73.23
2024-12-15 00:30:00,36.67,-70.525
2024-12-15 01:00:00,52.27,-66.53
2024-12-15 01:30:00,63.239999999999995,-61.595
2024-12-15 02:00:00,71.82,-56.27
2024-12-15 02:30:00,78.53999999999999,-50.67
2024-12-15 03:00:00,84.32,-44.95
2024-12-15 03:30:00,89.35499999999999,-39.18
2024-12-15 04:00:00,94.02,-33.4
2024-12-15 04:30:00,98.42,-27.65
2024-12-15 05:00:00,102.71,-21.96
2024-12-15 05:30:00,106.84666666666665,-16.52
2024-12-15 06:00:00,110.9425,-11.315
2024-12-15 06:30:00,115.77000000000001,-5.5
2024-12-15 07:00:00,120.35666666666667,-0.17666666666666667
2024-12-15 07:30:00,124.94866666666667,4.274
2024-12-15 08:00:00,129.80076923076925,8.508461538461539
2024-12-15 08:30:00,135.73375000000001,13.02875
2024-12-15 09:00:00,141.65857142857143,16.834285714285716
2024-12-15 09:30:00,148.0175,20.15125
2024-12-15 10:00:00,154.78857142857143,22.92142857142857
2024-12-15 10:30:00,161.95375,25.04
2024-12-15 11:00:00,169.42428571428573,26.47714285714286
2024-12-15 11:30:00,177.00125,27.14625
2024-12-15 12:00:00,184.5725,27.06375
2024-12-15 12:30:00,192.21285714285713,26.224285714285713
2024-12-15 13:00:00,199.62625,24.63125
2024-12-15 13:30:00,206.71142857142857,22.367142857142856
2024-12-15 14:00:00,213.39249999999998,19.4675
2024-12-15 14:30:00,219.6542857142857,16.04
2024-12-15 15:00:00,225.48875,12.13875
2024-12-15 15:30:00,230.83666666666667,7.953333333333333
2024-12-15 16:00:00,235.94666666666666,3.432
2024-12-15 16:30:00,240.488,-1.142
2024-12-15 17:00:00,245.06199999999998,-6.508
2024-12-15 17:30:00,250.1025,-12.657499999999999
2024-12-15 18:00:00,253.64499999999998,-17.195
2024-12-15 18:30:00,258.515,-23.63
2024-12-15 19:00:00,262.82,-29.34
2024-12-15 19:30:00,267.28499999999997,-35.105000000000004
2024-12-15 20:00:00,272.02,-40.89
2024-12-15 20:30:00,277.275,-46.655
2024-12-15 21:00:00,283.21,-52.35
2024-12-15 21:30:00,290.485,-57.875
2024-12-15 22:00:00,299.47,-63.14
2024-12-15 22:30:00,311.89,-67.81
2024-12-15 23:00:00,328.44,-71.6
2024-12-15 23:30:00,171.45499999999998,-73.515
2024-12-16 00:00:00,16.35,-73.27
2024-12-16 00:30:00,36.74,-70.565
2024-12-16 01:00:00,52.34,-66.56
2024-12-16 01:30:00,63.315,-61.625
2024-12-16 02:00:00,71.89,-56.3
2024-12-16 02:30:00,78.595,-50.695
2024-12-16 03:00:00,84.37,-44.98
2024-12-16 03:30:00,89.405,-39.2
2024-12-16 04:00:00,94.07,-33.42
2024-12-16 04:30:00,98.46000000000001,-27.67
2024-12-16 05:00:00,102.75,-21.98
2024-12-16 05:30:00,106.90000000000002,-16.523333333333333
2024-12-16 06:00:00,111.0,-11.315
2024-12-16 06:30:00,115.828,-5.5
2024-12-16 07:00:00,120.41333333333334,-0.17833333333333337
2024-12-16 07:30:00,125.008,4.269333333333334
2024-12-16 08:00:00,129.98499999999999,8.604285714285714
2024-12-16 08:30:00,135.42000000000002,12.76142857142857
2024-12-16 09:00:00,141.325,16.58125
2024-12-16 09:30:00,147.6457142857143,19.937142857142856
2024-12-16 10:00:00,154.39875,22.72625
2024-12-16 10:30:00,161.53142857142856,24.90142857142857
