time,sensor.sensor_temperatura_1_humidity,sensor.sensor_temperatura_1_pressure,sensor.sensor_temperatura_1_temperature,sensor.sensor_temperatura_2_humidity,sensor.sensor_temperatura_2_pressure,sensor.sensor_temperatura_2_temperature,sensor.sensor_temperatura_3_humidity,sensor.sensor_temperatura_3_pressure,sensor.sensor_temperatura_3_temperature,sensor.sensor_temperatura_4_humidity,sensor.sensor_temperatura_4_pressure,sensor.sensor_temperatura_4_temperature, sensor_ventana_2 Puerta,sensor_puerta_1 Puerta,sensor_ventana_1 Puerta,sensor_ventana_11 Puerta,sensor_ventana_12 Puerta,sensor_ventana_3 Puerta,sensor_ventana_4 Puerta,sensor_ventana_5 Puerta,sensor_ventana_6 Puerta,sensor_ventana_7 Puerta,sensor_ventana_8 Puerta,sensor_ventana_9 Puerta,azimuth_mean,elevation_mean
2024-12-11 12:30:00,44.7,1014.4,20.35,44.64,1014.05,20.52,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.76,26.37
2024-12-11 13:00:00,42.58,1014.4,19.96,43.05,1013.9,19.78,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.19,24.74
2024-12-11 13:30:00,42.11,1014.2,19.84,42.03,1013.6,19.31,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.27,22.41
2024-12-11 14:00:00,41.68,1014.2,19.52,42.88,1013.75,19.03,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.95,19.48
2024-12-11 14:30:00,42.64,1013.35,19.34,43.2,1013.9,18.86,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.19,15.99
2024-12-11 15:00:00,45.06,1013.35,19.63,46.15,1014.0,19.46,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.36,11.8
2024-12-11 15:30:00,45.11,1013.35,20.23,45.72,1013.9,19.86,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.57,7.65
2024-12-11 16:00:00,43.8,1013.35,20.65,45.72,1013.9,19.86,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.65,3.1
2024-12-11 16:30:00,43.08,1014.6,20.51,44.76,1014.15,20.2,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.05,-1.4
2024-12-11 17:00:00,43.41,1014.6,20.0,44.9,1014.45,19.8,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.39,-6.51
2024-12-11 17:30:00,43.55,1014.6,20.45,44.31,1014.4,20.2,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.42,-12.66
2024-12-11 18:00:00,44.06,1015.9,20.85,44.85,1014.75,20.43,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.96,-17.2
2024-12-11 18:30:00,45.78,1015.9,20.91,46.99,1015.0,20.61,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.84,-23.64
2024-12-11 19:00:00,47.99,1015.9,21.35,48.06,1014.85,21.15,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.15,-29.35
2024-12-11 19:30:00,48.66,1015.2,21.82,49.26,1014.85,21.64,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.64,-35.12
2024-12-11 20:00:00,47.96,1015.2,21.38,47.91,1015.2,21.06,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.4,-40.91
2024-12-11 20:30:00,47.29,1015.4,20.67,47.31,1015.2,20.42,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.7,-46.66
2024-12-11 21:00:00,46.2,1015.4,20.04,46.92,1015.25,19.95,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.69,-52.36
2024-12-11 21:30:00,45.92,1015.6,19.88,46.26,1015.4,19.37,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.03,-57.87
2024-12-11 22:00:00,45.38,1015.6,19.69,46.26,1015.4,19.37,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300.11,-63.11
2024-12-11 22:30:00,45.15,1015.6,19.51,46.64,1015.45,18.76,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,312.63,-67.74
2024-12-11 23:00:00,44.96,1015.4,19.27,46.64,1015.45,18.76,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,329.25,-71.47
2024-12-11 23:30:00,44.96,1015.4,19.27,46.08,1015.15,18.56,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.84,-73.31
2024-12-12 00:00:00,44.46,1015.2,19.12,46.08,1015.15,18.56,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.15,-73.05
2024-12-12 00:30:00,44.46,1015.2,19.12,45.53,1015.0,18.43,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.39,-70.37
2024-12-12 01:00:00,44.23,1015.2,18.9,45.71,1015.1,18.13,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.96,-66.39
2024-12-12 01:30:00,44.23,1015.2,18.9,45.78,1015.05,18.02,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.95,-61.48
2024-12-12 02:00:00,44.26,1015.2,18.82,46.17,1015.2,17.72,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.56,-56.16
2024-12-12 02:30:00,44.06,1015.2,18.65,46.33,1014.9,17.65,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.3,-50.57
2024-12-12 03:00:00,44.06,1015.2,18.65,46.07,1015.15,17.72,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.1,-44.86
2024-12-12 03:30:00,43.93,1015.2,18.55,45.89,1014.9,17.82,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.16,-39.08
2024-12-12 04:00:00,43.91,1015.05,18.55,45.89,1014.9,17.76,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.84,-33.3
2024-12-12 04:30:00,43.82,1015.05,18.49,45.89,1014.9,17.76,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.26,-27.55
2024-12-12 05:00:00,43.82,1015.05,18.49,45.41,1015.0,17.76,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.55,-21.85
2024-12-12 05:30:00,43.64,1015.2,18.39,45.22,1015.1,17.8,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.61,-16.52
2024-12-12 06:00:00,43.58,1015.6,18.34,45.13,1015.4,17.8,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.71,-11.31
2024-12-12 06:30:00,43.64,1015.6,18.25,45.26,1015.5,17.79,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.87,-5.11
2024-12-12 07:00:00,44.55,1015.7,18.44,45.99,1015.53,17.97,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.52,0.27
2024-12-12 07:30:00,49.51,1016.3,19.43,49.19,1015.7,19.17,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.04,4.59
2024-12-12 08:00:00,49.51,1016.3,19.43,48.87,1015.8,19.86,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.96,8.87
2024-12-12 08:30:00,49.44,1016.1,20.41,49.09,1015.9,20.3,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135.82,13.32
2024-12-12 09:00:00,44.6,1016.1,20.54,44.57,1015.9,19.0,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141.79,17.1
2024-12-12 09:30:00,41.57,1016.1,19.51,45.37,1016.18,17.2,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.16,20.42
2024-12-12 10:00:00,42.32,1016.1,19.42,45.8,1016.1,17.89,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.97,23.16
2024-12-12 10:30:00,44.98,1015.9,20.0,47.24,1015.9,19.09,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.16,25.28
2024-12-12 11:00:00,47.15,1015.75,20.39,48.22,1015.5,20.34,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.67,26.68
2024-12-12 11:30:00,47.15,1015.75,20.39,48.37,1015.2,20.6,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177.75,27.34
2024-12-12 12:00:00,50.02,1015.2,20.9,48.96,1015.0,21.11,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185.1,27.21
2024-12-12 12:30:00,51.7,1014.75,21.2,50.02,1014.85,21.34,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.75,26.3
2024-12-12 13:00:00,52.65,1014.9,21.18,51.54,1014.5,21.38,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.17,24.68
2024-12-12 13:30:00,50.91,1014.6,20.76,50.19,1014.4,20.94,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,207.24,22.34
2024-12-12 14:00:00,49.7,1014.6,20.3,49.33,1014.25,20.34,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,213.91,19.41
2024-12-12 14:30:00,49.7,1014.6,20.3,47.97,1014.2,19.86,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.14,15.93
2024-12-12 15:00:00,49.05,1014.2,19.89,49.89,1014.2,19.85,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226.3,11.75
2024-12-12 15:30:00,49.1,1014.6,20.38,49.29,1014.2,20.34,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.46,7.65
2024-12-12 16:00:00,49.1,1014.6,20.38,49.02,1014.25,20.41,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,236.54,3.11
2024-12-12 16:30:00,48.86,1014.6,20.2,49.0,1014.5,20.2,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.94,-1.39
2024-12-12 17:00:00,50.71,1014.9,20.35,50.53,1014.6,20.16,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.29,-6.51
2024-12-12 17:30:00,51.46,1015.55,20.64,51.3,1014.9,20.54,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.32,-12.66
2024-12-12 18:00:00,50.71,1015.55,20.85,50.41,1015.1,20.95,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.86,-17.2
2024-12-12 18:30:00,50.63,1015.55,20.83,50.37,1015.1,20.98,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258.74,-23.64
2024-12-12 19:00:00,50.63,1015.55,20.83,50.37,1015.1,20.98,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,263.05,-29.35
2024-12-12 19:30:00,49.41,1015.55,21.1,49.3,1015.35,21.06,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.54,-35.11
2024-12-12 20:00:00,49.3,1015.6,20.66,49.45,1015.35,20.55,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.28,-40.9
2024-12-12 20:30:00,49.75,1015.4,20.18,49.6,1015.25,20.31,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.57,-46.66
