entity_id,time,valor_medio
sensor.sensor_puerta_1_device_temperature,2025-01-31 20:00:00,21.0
sensor.sensor_puerta_1_device_temperature,2025-02-01 16:00:00,20.0
sensor.sensor_puerta_1_device_temperature,2025-02-01 17:30:00,21.0
sensor.sensor_puerta_1_device_temperature,2025-02-01 18:30:00,20.0
sensor.sensor_puerta_1_device_temperature,2025-02-01 19:30:00,21.0
sensor.sensor_puerta_1_device_temperature,2025-02-01 20:30:00,20.0
sensor.sensor_puerta_1_device_temperature,2025-02-02 01:30:00,19.0
sensor.sensor_puerta_1_device_temperature,2025-02-02 06:30:00,18.0
sensor.sensor_puerta_1_device_temperature,2025-02-02 10:30:00,19.0
sensor.sensor_puerta_1_device_temperature,2025-02-02 18:00:00,18.0
sensor.sensor_puerta_1_device_temperature,2025-02-02 19:00:00,19.0
sensor.sensor_puerta_1_device_temperature,2025-02-02 22:00:00,18.0
sensor.sensor_puerta_1_device_temperature,2025-02-03 08:00:00,19.0
sensor.sensor_puerta_1_device_temperature,2025-02-03 10:30:00,21.0
sensor.sensor_puerta_1_device_temperature,2025-02-03 22:00:00,20.0
sensor.sensor_puerta_1_device_temperature,2025-02-03 23:30:00,19.0
sensor.sensor_puerta_1_device_temperature,2025-02-04 00:30:00,20.0
sensor.sensor_puerta_1_device_temperature,2025-02-04 02:00:00,19.0
sensor.sensor_puerta_1_device_temperature,2025-02-04 06:30:00,18.0
sensor.sensor_puerta_1_device_temperature,2025-02-04 13:30:00,21.0
sensor.sensor_puerta_1_device_temperature,2025-02-04 15:30:00,22.0
sensor.sensor_puerta_1_device_temperature,2025-02-04 18:30:00,21.0
sensor.sensor_puerta_1_device_temperature,2025-02-05 00:30:00,20.0
sensor.sensor_puerta_1_device_temperature,2025-02-05 02:00:00,21.0
sensor.sensor_puerta_1_device_temperature,2025-02-05 03:00:00,20.0
sensor.sensor_puerta_1_device_temperature,2025-02-05 04:30:00,19.0
sensor.sensor_puerta_1_device_temperature,2025-02-05 05:30:00,20.0
sensor.sensor_puerta_1_device_temperature,2025-02-05 06:30:00,19.0
sensor.sensor_puerta_1_device_temperature,2025-02-05 12:00:00,19.0
sensor.sensor_puerta_1_device_temperature,2025-02-05 14:00:00,21.0
sensor.sensor_puerta_1_device_temperature,2025-02-05 14:30:00,21.0
sensor.sensor_puerta_1_device_temperature,2025-02-05 16:30:00,22.0
sensor.sensor_puerta_1_device_temperature,2025-02-05 18:30:00,21.0
sensor.sensor_puerta_1_device_temperature,2025-02-06 04:30:00,20.0
sensor.sensor_puerta_1_device_temperature,2025-02-06 15:00:00,21.0
sensor.sensor_puerta_1_device_temperature,2025-02-06 16:00:00,23.0
sensor.sensor_puerta_1_device_temperature,2025-02-06 19:00:00,22.0
sensor.sensor_puerta_1_device_temperature,2025-02-06 20:00:00,21.0
sensor.sensor_puerta_1_device_temperature,2025-02-07 03:30:00,20.0
sensor.sensor_puerta_1_device_temperature,2025-02-07 14:00:00,21.0
sensor.sensor_puerta_1_device_temperature,2025-02-07 15:00:00,21.0
sensor.sensor_puerta_1_device_temperature,2025-02-08 04:00:00,20.0
sensor.sensor_puerta_1_device_temperature,2025-02-08 05:00:00,21.0
sensor.sensor_puerta_1_device_temperature,2025-02-08 06:00:00,20.0
sensor.sensor_puerta_1_device_temperature,2025-02-08 06:30:00,21.0
sensor.sensor_puerta_1_device_temperature,2025-02-08 07:30:00,20.0
sensor.sensor_puerta_1_device_temperature,2025-02-08 11:30:00,19.0
sensor.sensor_puerta_1_device_temperature,2025-02-08 14:00:00,20.0
sensor.sensor_puerta_1_device_temperature,2025-02-08 15:00:00,21.0
sensor.sensor_puerta_1_device_temperature,2025-02-08 20:00:00,20.0
sensor.sensor_puerta_1_device_temperature,2025-02-08 22:00:00,21.0
sensor.sensor_puerta_1_device_temperature,2025-02-08 23:30:00,19.0
sensor.sensor_puerta_1_device_temperature,2025-02-09 00:30:00,20.0
sensor.sensor_puerta_1_device_temperature,2025-02-09 01:00:00,19.0
sensor.sensor_puerta_1_device_temperature,2025-02-09 02:00:00,20.0
sensor.sensor_puerta_1_device_temperature,2025-02-09 03:30:00,19.0
sensor.sensor_puerta_1_device_temperature,2025-02-09 04:30:00,20.0
sensor.sensor_puerta_1_device_temperature,2025-02-09 07:00:00,19.0
sensor.sensor_puerta_1_device_temperature,2025-02-09 08:00:00,20.0
sensor.sensor_puerta_1_device_temperature,2025-02-09 08:30:00,19.0
sensor.sensor_puerta_1_device_temperature,2025-02-09 10:30:00,20.0
sensor.sensor_puerta_1_device_temperature,2025-02-09 11:00:00,19.0
