time, sensor_ventana_2 Puerta,sensor_puerta_1 Puerta,sensor_ventana_1 Puerta,sensor_ventana_11 Puerta,sensor_ventana_12 Puerta,sensor_ventana_3 Puerta,sensor_ventana_4 Puerta,sensor_ventana_5 Puerta,sensor_ventana_6 Puerta,sensor_ventana_7 Puerta,sensor_ventana_8 Puerta,sensor_ventana_9 Puerta,suma_ventanas_arriba,suma_ventanas_abajo
2025-01-23 10:00:00,0.0,616.0,0.0,1891.0,0.0,1875.0,0.0,1881.0,0.0,1617.0,0.0,1883.0,0.0,0.0
2025-01-23 11:00:00,0.0,216.0,0.0,1795.0,0.0,3600.0,0.0,3600.0,0.0,2926.0,0.0,884.0,0.0,0.0
2025-01-23 12:00:00,0.0,1115.0,0.0,0.0,0.0,1261.0,0.0,1276.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-23 13:00:00,0.0,762.0,1549.0,1589.0,0.0,642.0,0.0,0.0,0.0,3440.0,0.0,0.0,0.0,0.0
2025-01-23 14:00:00,0.0,857.0,2966.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,0.0
2025-01-23 15:00:00,0.0,1860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,0.0
2025-01-23 16:00:00,0.0,3153.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,0.0
2025-01-23 17:00:00,0.0,2974.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,0.0
2025-01-23 18:00:00,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3510.0,0.0,0.0,0.0,0.0
2025-01-23 19:00:00,0.0,3177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-24 05:00:00,0.0,130.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-24 07:00:00,0.0,517.0,0.0,352.0,0.0,82.0,0.0,0.0,0.0,2237.0,0.0,0.0,0.0,0.0
2025-01-24 08:00:00,0.0,148.0,0.0,551.0,0.0,3600.0,0.0,2496.0,0.0,3600.0,0.0,0.0,0.0,0.0
2025-01-24 09:00:00,0.0,425.0,0.0,588.0,0.0,3600.0,0.0,3600.0,0.0,3600.0,0.0,184.0,0.0,0.0
2025-01-24 10:00:00,0.0,864.0,0.0,1668.0,0.0,3600.0,0.0,3600.0,0.0,3600.0,0.0,3600.0,0.0,0.0
2025-01-24 11:00:00,0.0,941.0,0.0,947.0,0.0,3600.0,0.0,3600.0,0.0,1716.0,0.0,1402.0,0.0,0.0
2025-01-24 12:00:00,0.0,3600.0,0.0,0.0,0.0,3599.0,0.0,1437.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-24 13:00:00,0.0,638.0,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
2025-01-24 14:00:00,0.0,0.0,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-24 15:00:00,0.0,0.0,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-24 16:00:00,0.0,0.0,0.0,0.0,0.0,3518.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-24 19:00:00,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-27 05:00:00,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-27 06:00:00,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-27 07:00:00,0.0,858.0,0.0,3156.0,0.0,2398.0,0.0,2644.0,0.0,3164.0,0.0,3157.0,0.0,0.0
2025-01-27 08:00:00,0.0,136.0,0.0,3356.0,0.0,3600.0,0.0,3600.0,0.0,2323.0,0.0,2503.0,0.0,0.0
2025-01-27 09:00:00,0.0,277.0,0.0,3600.0,0.0,3539.0,0.0,3539.0,0.0,0.0,0.0,723.0,0.0,0.0
2025-01-27 10:00:00,0.0,172.0,0.0,1865.0,0.0,0.0,0.0,2149.0,0.0,0.0,0.0,1310.0,0.0,0.0
2025-01-27 11:00:00,0.0,356.0,0.0,251.0,0.0,0.0,0.0,3185.0,0.0,0.0,0.0,3137.0,0.0,0.0
2025-01-27 12:00:00,0.0,140.0,0.0,1151.0,0.0,0.0,0.0,819.0,0.0,0.0,0.0,12.0,0.0,0.0
2025-01-27 13:00:00,0.0,758.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-27 14:00:00,0.0,361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-27 15:00:00,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-27 16:00:00,0.0,2286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-27 17:00:00,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-27 18:00:00,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-27 19:00:00,0.0,3159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-28 05:00:00,0.0,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-28 06:00:00,0.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-28 07:00:00,0.0,1484.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-28 08:00:00,0.0,106.0,0.0,507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-28 09:00:00,0.0,320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-28 10:00:00,0.0,1539.0,0.0,489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-28 11:00:00,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-28 12:00:00,0.0,333.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-28 13:00:00,0.0,436.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-28 14:00:00,0.0,2041.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-28 15:00:00,0.0,3089.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-28 16:00:00,0.0,187.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-28 17:00:00,0.0,3325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-28 18:00:00,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-28 19:00:00,0.0,3175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-29 05:00:00,0.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-29 06:00:00,0.0,346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-29 07:00:00,0.0,792.0,0.0,521.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-29 08:00:00,0.0,137.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-01-29 09:00:00,0.0,349.0,0.0,324.0,0.0,0.0,0.0,0.0,0.0,868.0,0.0,559.0,0.0,0.0
2025-01-29 10:00:00,0.0,1504.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,414.0,0.0,0.0,0.0,0.0
2025-01-29 11:00:00,31.0,2539.0,0.0,0.0,62.0,1.0,36.0,1.0,0.0,16.0,57.0,13.0,46.5,186.0
2025-01-29 12:00:00,3600.0,3598.0,0.0,0.0,3600.0,0.0,3600.0,0.0,0.0,0.0,3600.0,0.0,3600.0,14400.0
2025-01-29 13:00:00,3600.0,0.0,0.0,0.0,3600.0,0.0,3600.0,0.0,0.0,0.0,3600.0,0.0,3600.0,14400.0
2025-01-29 14:00:00,3600.0,2127.0,0.0,0.0,3600.0,0.0,3600.0,0.0,0.0,0.0,3600.0,0.0,3600.0,14400.0
2025-01-29 15:00:00,3600.0,3600.0,0.0,0.0,3600.0,0.0,3600.0,0.0,0.0,0.0,3600.0,0.0,3600.0,14400.0
2025-01-29 16:00:00,3600.0,920.0,0.0,0.0,3600.0,0.0,3600.0,0.0,0.0,0.0,3600.0,0.0,3600.0,14400.0
2025-01-29 17:00:00,3600.0,78.0,0.0,0.0,3600.0,0.0,3600.0,0.0,0.0,0.0,3600.0,0.0,3600.0,14400.0
2025-01-29 18:00:00,3600.0,32.0,0.0,0.0,3600.0,0.0,3600.0,0.0,0.0,0.0,3600.0,0.0,3600.0,14400.0
2025-01-29 19:00:00,3600.0,275.0,0.0,0.0,3600.0,0.0,3600.0,0.0,0.0,0.0,3600.0,0.0,3600.0,14400.0
2025-01-29 20:00:00,3600.0,0.0,0.0,0.0,3600.0,0.0,3600.0,0.0,0.0,0.0,3600.0,0.0,3600.0,14400.0
2025-01-29 21:00:00,3600.0,0.0,0.0,0.0,3600.0,0.0,3600.0,0.0,0.0,0.0,3600.0,0.0,3600.0,14400.0
2025-01-29 22:00:00,3600.0,0.0,0.0,0.0,3600.0,0.0,3600.0,0.0,0.0,0.0,3600.0,0.0,3600.0,14400.0
2025-01-29 23:00:00,3600.0,0.0,0.0,0.0,3600.0,0.0,3600.0,0.0,0.0,0.0,3600.0,0.0,3600.0,14400.0
2025-01-30 00:00:00,3600.0,0.0,0.0,0.0,3600.0,0.0,3600.0,0.0,0.0,0.0,3600.0,0.0,3600.0,14400.0
2025-01-30 01:00:00,3600.0,0.0,0.0,0.0,3600.0,0.0,3600.0,0.0,0.0,0.0,3600.0,0.0,3600.0,14400.0
